order_id,date,region,category,product,quantity,unit_price,discount_pct,revenue,customer_segment,payment_method,shipping_days,shipping_cost,customer_rating
ORD-101556,2024-01-01,Asia Pacific,Home & Kitchen,Microwave,7,37.55,0,262.85,Consumer,Bank Transfer,3,12.44,3.7
ORD-101197,2024-01-01,Asia Pacific,Home & Kitchen,Coffee Maker,9,350.76,10,2841.16,SMB,Google Pay,11,26.99,4.0
ORD-100545,2024-01-01,Latin America,Clothing,T-Shirt,6,51.85,20,248.88,Consumer,Apple Pay,5,43.0,3.3
ORD-101226,2024-01-02,Asia Pacific,Sports & Outdoors,Dumbbells,6,444.93,10,2402.62,Consumer,Credit Card,12,26.41,3.7
ORD-100087,2024-01-02,Europe,Clothing,Hoodie,1,15.17,5,14.41,Consumer,Bank Transfer,6,42.85,3.9
ORD-101383,2024-01-02,Europe,Books,Non-Fiction,7,33.61,0,235.27,Consumer,Credit Card,10,5.37,4.1
ORD-100432,2024-01-02,North America,Electronics,Camera,4,1076.68,0,4306.72,Consumer,Credit Card,8,22.16,3.2
ORD-100102,2024-01-03,Europe,Home & Kitchen,Air Fryer,7,40.88,0,286.16,SMB,Google Pay,9,19.36,3.9
ORD-100373,2024-01-04,North America,Books,Children's Book,8,14.95,5,113.62,Consumer,Google Pay,2,43.88,5.0
ORD-101062,2024-01-04,Europe,Electronics,Tablet,3,935.63,5,2666.55,Consumer,Google Pay,1,40.4,3.5
ORD-101256,2024-01-04,Europe,Books,Non-Fiction,8,30.87,0,246.96,Consumer,Apple Pay,10,30.26,3.7
ORD-101097,2024-01-04,Europe,Home & Kitchen,Blender,1,326.22,10,293.6,SMB,Google Pay,10,39.95,4.1
ORD-101534,2024-01-04,Asia Pacific,Books,Biography,8,9.58,0,76.64,Consumer,Apple Pay,13,5.74,4.3
ORD-100091,2024-01-04,Latin America,Clothing,Dress,9,36.97,15,282.82,Consumer,PayPal,12,32.15,3.7
ORD-100931,2024-01-04,North America,Books,Non-Fiction,8,23.05,0,184.4,SMB,Credit Card,4,15.3,4.5
ORD-101469,2024-01-04,Asia Pacific,Clothing,Jeans,5,109.8,5,521.55,Consumer,Credit Card,5,14.12,3.5
ORD-101371,2024-01-05,Europe,Home & Kitchen,Blender,3,474.34,5,1351.87,Consumer,Google Pay,6,48.31,3.6
ORD-100238,2024-01-05,Europe,Home & Kitchen,Microwave,5,308.95,0,1544.75,Consumer,Credit Card,10,40.23,3.5
ORD-101543,2024-01-06,Middle East,Books,Biography,6,18.9,0,113.4,Consumer,Apple Pay,7,38.19,3.0
ORD-101951,2024-01-06,North America,Books,Non-Fiction,2,22.63,0,45.26,Consumer,Credit Card,3,10.96,3.8
ORD-100760,2024-01-07,North America,Electronics,Camera,8,962.53,5,7315.23,SMB,PayPal,13,38.07,3.8
ORD-101155,2024-01-08,Europe,Clothing,Jacket,5,129.82,20,519.28,Consumer,Google Pay,3,14.45,4.5
ORD-100106,2024-01-08,North America,Clothing,T-Shirt,9,103.09,10,835.03,Consumer,Bank Transfer,5,44.45,4.1
ORD-100281,2024-01-09,North America,Electronics,Camera,4,663.71,0,2654.84,Consumer,Apple Pay,8,38.89,4.4
ORD-101189,2024-01-10,North America,Books,Fiction,9,18.35,20,132.12,Consumer,Apple Pay,11,14.47,4.6
ORD-101471,2024-01-10,Europe,Books,Fiction,6,12.87,5,73.36,Consumer,Apple Pay,5,18.08,4.8
ORD-101561,2024-01-10,Asia Pacific,Books,Cookbook,8,14.16,5,107.62,SMB,Bank Transfer,12,45.08,5.0
ORD-101040,2024-01-10,Europe,Sports & Outdoors,Running Shoes,3,181.37,5,516.9,SMB,PayPal,1,26.28,3.2
ORD-101431,2024-01-11,North America,Electronics,Laptop,5,408.59,10,1838.66,Consumer,Apple Pay,5,11.56,3.0
ORD-101991,2024-01-11,North America,Sports & Outdoors,Bike,3,775.68,20,1861.63,Enterprise,Apple Pay,2,38.7,4.7
ORD-100623,2024-01-11,North America,Electronics,Camera,9,730.19,0,6571.71,Consumer,Google Pay,4,33.72,4.5
ORD-100713,2024-01-11,Europe,Electronics,Smartwatch,7,1142.24,10,7196.11,Consumer,Credit Card,12,6.49,4.7
ORD-100829,2024-01-11,Asia Pacific,Electronics,Laptop,2,878.18,15,1492.91,Enterprise,PayPal,6,34.94,4.9
